,TRY,CHF,SEK,RUB,NZL,NOK,MXN,JPY,GBP,EUR,CNH,CLP,CAD,ARB,AUD,ZAR,USD,BRL
2000-01-01,,1.59775,8.523293,,,8.039518,,102.259606,0.618853,0.995421,,,1.454111,,1.535138,6.15867,,
2000-01-02,,1.59775,8.523293,,,8.039518,,102.259606,0.618853,0.995421,,,1.454111,,1.535138,6.15867,,
2000-01-03,,1.58999,8.475719,,,7.990089,,101.833499,0.619029,0.99108,,,1.444698,,1.520912,6.145986,,
2000-01-04,,1.557787,8.366327,,,7.908782,,102.74624,0.610966,0.970403,,,1.449393,,1.5213,6.12198,,
2000-01-05,,1.548997,8.33478,,,7.914738,,103.530093,0.609954,0.964506,,,1.453029,,1.521316,6.072531,,
2000-01-06,,1.546785,8.321621,,,7.896611,,104.659222,0.606662,0.962649,,,1.452734,,1.523681,6.093955,,
2000-01-07,,1.563497,8.406262,,,7.968203,,105.105018,0.608907,0.972384,,,1.459549,,1.530338,6.066997,,
2000-01-08,,1.563497,8.406262,,,7.968203,,105.105018,0.608907,0.972384,,,1.459549,,1.530338,6.066997,,
2000-01-09,,1.563497,8.406262,,,7.968203,,105.105018,0.608907,0.972384,,,1.459549,,1.530338,6.066997,,
2000-01-10,,1.572881,8.463193,,,8.006648,,104.858735,0.61091,0.977613,,,1.454003,,1.523805,6.082999,,
2000-01-11,,1.56913,8.445788,,,8.002633,,106.132995,0.609497,0.975039,,,1.458951,,1.527301,6.07498,,
2000-01-12,,1.5617,8.413368,,,7.970508,,105.840124,0.606616,0.97012,,,1.45683,,1.518529,6.078386,,
2000-01-13,,1.567828,8.415239,,,7.959809,,105.965356,0.6087,0.973141,,,1.449689,,1.503503,6.062962,,
2000-01-14,,1.577506,8.433252,,,7.957457,,105.672372,0.608411,0.977995,,,1.449291,,1.499462,6.072958,,
2000-01-15,,1.577506,8.433252,,,7.957457,,105.672372,0.608411,0.977995,,,1.449291,,1.499462,6.072958,,
2000-01-16,,1.577506,8.433252,,,7.957457,,105.672372,0.608411,0.977995,,,1.449291,,1.499462,6.072958,,
2000-01-17,,1.598573,8.484248,,,8.021102,,104.824648,0.612245,0.990688,,,1.451456,,1.507034,6.072518,,
2000-01-18,,1.598236,8.491529,,,8.031804,,105.439413,0.611711,0.990786,,,1.449123,,1.508174,6.078966,,
2000-01-19,,1.59525,8.49431,,,7.991588,,105.878278,0.610787,0.989609,,,1.44948,,1.506383,6.104998,,
2000-01-20,,1.600456,8.515215,,,8.015165,,105.501041,0.607295,0.991179,,,1.449599,,1.504807,6.10001,,
2000-01-21,,1.594731,8.504011,,,7.999406,,104.516193,0.605427,0.990393,,,1.446667,,1.506883,6.10003,,
2000-01-22,,1.594731,8.504011,,,7.999406,,104.516193,0.605427,0.990393,,,1.446667,,1.506883,6.10003,,
2000-01-23,,1.594731,8.504011,,,7.999406,,104.516193,0.605427,0.990393,,,1.446667,,1.506883,6.10003,,
2000-01-24,,1.609255,8.535953,,,8.023836,,105.255809,0.604568,0.997307,,,1.442106,,1.525381,6.141019,,
2000-01-25,,1.610811,8.505695,,,8.035072,,105.605516,0.607814,0.999201,,,1.443245,,1.526279,6.163669,,
2000-01-26,,1.608544,8.523306,,,8.053698,,105.838906,0.608244,0.998104,,,1.437768,,1.525302,6.150015,,
2000-01-27,,1.615176,8.556034,,,8.100942,,105.683641,0.610365,1.002406,,,1.436548,,1.532578,6.164495,,
2000-01-28,,1.636982,8.655565,,,8.168156,,105.341186,0.614439,1.015435,,,1.439683,,1.541227,6.279955,,
2000-01-29,,1.636982,8.655565,,,8.168156,,105.341186,0.614439,1.015435,,,1.439683,,1.541227,6.279955,,
2000-01-30,,1.636982,8.655565,,,8.168156,,105.341186,0.614439,1.015435,,,1.439683,,1.541227,6.279955,,
2000-01-31,,1.643448,8.783577,,,8.25503,,106.853233,0.617608,1.021346,,,1.449801,,1.575937,6.293535,,
2000-02-01,,1.655819,8.84243,,,8.314109,,107.744593,0.619979,1.029866,,,1.454274,,1.573326,6.3,,
2000-02-02,,1.656993,8.76608,,,8.251003,,108.582896,0.622723,1.029124,,,1.450859,,1.571781,6.255532,,
2000-02-03,,1.649877,8.703837,,,8.25554,,108.514567,0.624333,1.025851,,,1.440808,,1.577965,6.265183,,
2000-02-04,,1.634672,8.613625,,,8.218607,,107.768175,0.629893,1.016777,,,1.441993,,1.583122,6.285003,,
2000-02-05,,1.634672,8.613625,,,8.218607,,107.768175,0.629893,1.016777,,,1.441993,,1.583122,6.285003,,
2000-02-06,,1.634672,8.613625,,,8.218607,,107.768175,0.629893,1.016777,,,1.441993,,1.583122,6.285003,,
2000-02-07,,1.644824,8.664892,,,8.251254,,108.549196,0.628033,1.023856,,,1.438006,,1.562506,6.306542,,
2000-02-08,,1.623145,8.558013,,,8.151065,,108.96698,0.624255,1.009795,,,1.44946,,1.578714,6.308189,,
2000-02-09,,1.619891,8.551943,,,8.136199,,108.878599,0.620999,1.006644,,,1.442923,,1.572378,6.295249,,
2000-02-10,,1.627483,8.593433,,,8.177442,,108.542764,0.620794,1.013377,,,1.450851,,1.57955,6.338974,,
2000-02-11,,1.6382,8.613917,,,8.202734,,109.601061,0.626059,1.020304,,,1.446077,,1.584124,6.397,,
2000-02-12,,1.6382,8.613917,,,8.202734,,109.601061,0.626059,1.020304,,,1.446077,,1.584124,6.397,,
2000-02-13,,1.6382,8.613917,,,8.202734,,109.601061,0.626059,1.020304,,,1.446077,,1.584124,6.397,,
2000-02-14,,1.628256,8.599372,,,8.188406,,108.29026,0.628458,1.013479,,,1.450086,,1.584676,6.331509,,
2000-02-15,,1.642565,8.686848,,,8.251687,,108.877071,0.629883,1.022704,,,1.458274,,1.595111,6.372469,,
