,TRY,CHF,SEK,RUB,NZL,NOK,MXN,JPY,GBP,EUR,CNH,CLP,CAD,ARS,AUD,ZAR,USD,BRL
2000-01-01,1.0046,1.6051,8.5625,1.0046,1.0046,8.0765,1.0046,102.73,0.6217,,1.0046,1.0046,1.4608,1.0046,1.5422,6.187,1.0046,1.0046
2000-01-02,1.0046,1.6051,8.5625,1.0046,1.0046,8.0765,1.0046,102.73,0.6217,,1.0046,1.0046,1.4608,1.0046,1.5422,6.187,1.0046,1.0046
2000-01-03,1.009,1.6043,8.552,1.009,1.009,8.062,1.009,102.75,0.6246,,1.009,1.009,1.4577,1.009,1.5346,6.2013,1.009,1.009
2000-01-04,1.0305,1.6053,8.6215,1.0305,1.0305,8.15,1.0305,105.88,0.6296,,1.0305,1.0305,1.4936,1.0305,1.5677,6.3087,1.0305,1.0305
2000-01-05,1.0368,1.606,8.6415,1.0368,1.0368,8.206,1.0368,107.34,0.6324,,1.0368,1.0368,1.5065,1.0368,1.5773,6.296,1.0368,1.0368
2000-01-06,1.0388,1.6068,8.6445,1.0388,1.0388,8.203,1.0388,108.72,0.6302,,1.0388,1.0388,1.5091,1.0388,1.5828,6.3304,1.0388,1.0388
2000-01-07,1.0284,1.6079,8.645,1.0284,1.0284,8.1945,1.0284,108.09,0.6262,,1.0284,1.0284,1.501,1.0284,1.5738,6.2393,1.0284,1.0284
2000-01-08,1.0284,1.6079,8.645,1.0284,1.0284,8.1945,1.0284,108.09,0.6262,,1.0284,1.0284,1.501,1.0284,1.5738,6.2393,1.0284,1.0284
2000-01-09,1.0284,1.6079,8.645,1.0284,1.0284,8.1945,1.0284,108.09,0.6262,,1.0284,1.0284,1.501,1.0284,1.5738,6.2393,1.0284,1.0284
2000-01-10,1.0229,1.6089,8.657,1.0229,1.0229,8.19,1.0229,107.26,0.6249,,1.0229,1.0229,1.4873,1.0229,1.5587,6.2223,1.0229,1.0229
2000-01-11,1.0256,1.6093,8.662,1.0256,1.0256,8.2075,1.0256,108.85,0.6251,,1.0256,1.0256,1.4963,1.0256,1.5664,6.2305,1.0256,1.0256
2000-01-12,1.0308,1.6098,8.6725,1.0308,1.0308,8.216,1.0308,109.1,0.6253,,1.0308,1.0308,1.5017,1.0308,1.5653,6.2656,1.0308,1.0308
2000-01-13,1.0276,1.6111,8.6475,1.0276,1.0276,8.1795,1.0276,108.89,0.6255,,1.0276,1.0276,1.4897,1.0276,1.545,6.2303,1.0276,1.0276
2000-01-14,1.0225,1.613,8.623,1.0225,1.0225,8.1365,1.0225,108.05,0.6221,,1.0225,1.0225,1.4819,1.0225,1.5332,6.2096,1.0225,1.0225
2000-01-15,1.0225,1.613,8.623,1.0225,1.0225,8.1365,1.0225,108.05,0.6221,,1.0225,1.0225,1.4819,1.0225,1.5332,6.2096,1.0225,1.0225
2000-01-16,1.0225,1.613,8.623,1.0225,1.0225,8.1365,1.0225,108.05,0.6221,,1.0225,1.0225,1.4819,1.0225,1.5332,6.2096,1.0225,1.0225
2000-01-17,1.0094,1.6136,8.564,1.0094,1.0094,8.0965,1.0094,105.81,0.618,,1.0094,1.0094,1.4651,1.0094,1.5212,6.1296,1.0094,1.0094
2000-01-18,1.0093,1.6131,8.5705,1.0093,1.0093,8.1065,1.0093,106.42,0.6174,,1.0093,1.0093,1.4626,1.0093,1.5222,6.1355,1.0093,1.0093
2000-01-19,1.0105,1.612,8.5835,1.0105,1.0105,8.0755,1.0105,106.99,0.6172,,1.0105,1.0105,1.4647,1.0105,1.5222,6.1691,1.0105,1.0105
2000-01-20,1.0089,1.6147,8.591,1.0089,1.0089,8.0865,1.0089,106.44,0.6127,,1.0089,1.0089,1.4625,1.0089,1.5182,6.1543,1.0089,1.0089
2000-01-21,1.0097,1.6102,8.5865,1.0097,1.0097,8.077,1.0097,105.53,0.6113,,1.0097,1.0097,1.4607,1.0097,1.5215,6.1592,1.0097,1.0097
2000-01-22,1.0097,1.6102,8.5865,1.0097,1.0097,8.077,1.0097,105.53,0.6113,,1.0097,1.0097,1.4607,1.0097,1.5215,6.1592,1.0097,1.0097
2000-01-23,1.0097,1.6102,8.5865,1.0097,1.0097,8.077,1.0097,105.53,0.6113,,1.0097,1.0097,1.4607,1.0097,1.5215,6.1592,1.0097,1.0097
2000-01-24,1.0027,1.6136,8.559,1.0027,1.0027,8.0455,1.0027,105.54,0.6062,,1.0027,1.0027,1.446,1.0027,1.5295,6.1576,1.0027,1.0027
2000-01-25,1.0008,1.6121,8.5125,1.0008,1.0008,8.0415,1.0008,105.69,0.6083,,1.0008,1.0008,1.4444,1.0008,1.5275,6.1686,1.0008,1.0008
2000-01-26,1.0019,1.6116,8.5395,1.0019,1.0019,8.069,1.0019,106.04,0.6094,,1.0019,1.0019,1.4405,1.0019,1.5282,6.1617,1.0019,1.0019
2000-01-27,0.9976,1.6113,8.5355,0.9976,0.9976,8.0815,0.9976,105.43,0.6089,,0.9976,0.9976,1.4331,0.9976,1.5289,6.1497,0.9976,0.9976
2000-01-28,0.9848,1.6121,8.524,0.9848,0.9848,8.044,0.9848,103.74,0.6051,,0.9848,0.9848,1.4178,0.9848,1.5178,6.1845,0.9848,0.9848
2000-01-29,0.9848,1.6121,8.524,0.9848,0.9848,8.044,0.9848,103.74,0.6051,,0.9848,0.9848,1.4178,0.9848,1.5178,6.1845,0.9848,0.9848
2000-01-30,0.9848,1.6121,8.524,0.9848,0.9848,8.044,0.9848,103.74,0.6051,,0.9848,0.9848,1.4178,0.9848,1.5178,6.1845,0.9848,0.9848
2000-01-31,0.9791,1.6091,8.6,0.9791,0.9791,8.0825,0.9791,104.62,0.6047,,0.9791,0.9791,1.4195,0.9791,1.543,6.162,0.9791,0.9791
2000-02-01,0.971,1.6078,8.586,0.971,0.971,8.073,0.971,104.62,0.602,,0.971,0.971,1.4121,0.971,1.5277,6.1173,0.971,0.971
2000-02-02,0.9717,1.6101,8.518,0.9717,0.9717,8.0175,0.9717,105.51,0.6051,,0.9717,0.9717,1.4098,0.9717,1.5273,6.0785,0.9717,0.9717
2000-02-03,0.9748,1.6083,8.4845,0.9748,0.9748,8.0475,0.9748,105.78,0.6086,,0.9748,0.9748,1.4045,0.9748,1.5382,6.1073,0.9748,0.9748
2000-02-04,0.9835,1.6077,8.4715,0.9835,0.9835,8.083,0.9835,105.99,0.6195,,0.9835,0.9835,1.4182,0.9835,1.557,6.1813,0.9835,0.9835
2000-02-05,0.9835,1.6077,8.4715,0.9835,0.9835,8.083,0.9835,105.99,0.6195,,0.9835,0.9835,1.4182,0.9835,1.557,6.1813,0.9835,0.9835
2000-02-06,0.9835,1.6077,8.4715,0.9835,0.9835,8.083,0.9835,105.99,0.6195,,0.9835,0.9835,1.4182,0.9835,1.557,6.1813,0.9835,0.9835
2000-02-07,0.9767,1.6065,8.463,0.9767,0.9767,8.059,0.9767,106.02,0.6134,,0.9767,0.9767,1.4045,0.9767,1.5261,6.1596,0.9767,0.9767
2000-02-08,0.9903,1.6074,8.475,0.9903,0.9903,8.072,0.9903,107.91,0.6182,,0.9903,0.9903,1.4354,0.9903,1.5634,6.247,0.9903,0.9903
2000-02-09,0.9934,1.6092,8.4955,0.9934,0.9934,8.0825,0.9934,108.16,0.6169,,0.9934,0.9934,1.4334,0.9934,1.562,6.2537,0.9934,0.9934
2000-02-10,0.9868,1.606,8.48,0.9868,0.9868,8.0695,0.9868,107.11,0.6126,,0.9868,0.9868,1.4317,0.9868,1.5587,6.2553,0.9868,0.9868
2000-02-11,0.9801,1.6056,8.4425,0.9801,0.9801,8.0395,0.9801,107.42,0.6136,,0.9801,0.9801,1.4173,0.9801,1.5526,6.2697,0.9801,0.9801
2000-02-12,0.9801,1.6056,8.4425,0.9801,0.9801,8.0395,0.9801,107.42,0.6136,,0.9801,0.9801,1.4173,0.9801,1.5526,6.2697,0.9801,0.9801
2000-02-13,0.9801,1.6056,8.4425,0.9801,0.9801,8.0395,0.9801,107.42,0.6136,,0.9801,0.9801,1.4173,0.9801,1.5526,6.2697,0.9801,0.9801
2000-02-14,0.9867,1.6066,8.485,0.9867,0.9867,8.0795,0.9867,106.85,0.6201,,0.9867,0.9867,1.4308,0.9867,1.5636,6.2473,0.9867,0.9867
2000-02-15,0.9778,1.6061,8.494,0.9778,0.9778,8.0685,0.9778,106.46,0.6159,,0.9778,0.9778,1.4259,0.9778,1.5597,6.231,0.9778,0.9778
2000-02-16,0.9804,1.6036,8.547,0.9804,0.9804,8.1125,0.9804,106.97,0.6129,,0.9804,0.9804,1.4279,0.9804,1.5531,6.2309,0.9804,0.9804
2000-02-17,0.9919,1.6042,8.577,0.9919,0.9919,8.1565,0.9919,109.3,0.6158,,0.9919,0.9919,1.4409,0.9919,1.5646,6.2514,0.9919,0.9919
2000-02-18,0.9857,1.6032,8.5375,0.9857,0.9857,8.1455,0.9857,109.27,0.6144,,0.9857,0.9857,1.4288,0.9857,1.5627,6.2247,0.9857,0.9857
2000-02-19,0.9857,1.6032,8.5375,0.9857,0.9857,8.1455,0.9857,109.27,0.6144,,0.9857,0.9857,1.4288,0.9857,1.5627,6.2247,0.9857,0.9857
2000-02-20,0.9857,1.6032,8.5375,0.9857,0.9857,8.1455,0.9857,109.27,0.6144,,0.9857,0.9857,1.4288,0.9857,1.5627,6.2247,0.9857,0.9857
2000-02-21,0.9857,1.6031,8.572,0.9857,0.9857,8.17,0.9857,109.73,0.6161,,0.9857,0.9857,1.4317,0.9857,1.5717,6.2417,0.9857,0.9857
2000-02-22,1.0022,1.6072,8.5855,1.0022,1.0022,8.1915,1.0022,111.11,0.6226,,1.0022,1.0022,1.4586,1.0022,1.5976,6.3279,1.0022,1.0022
2000-02-23,1.0068,1.6105,8.5935,1.0068,1.0068,8.1955,1.0068,111.88,0.6252,,1.0068,1.0068,1.4754,1.0068,1.6225,6.3227,1.0068,1.0068
2000-02-24,0.9898,1.6101,8.557,0.9898,0.9898,8.1475,0.9898,109.55,0.6188,,0.9898,0.9898,1.4479,0.9898,1.6067,6.2704,0.9898,0.9898
2000-02-25,0.9813,1.6083,8.5255,0.9813,0.9813,8.1275,0.9813,108.79,0.6155,,0.9813,0.9813,1.4265,0.9813,1.5834,6.1822,0.9813,0.9813
2000-02-26,0.9813,1.6083,8.5255,0.9813,0.9813,8.1275,0.9813,108.79,0.6155,,0.9813,0.9813,1.4265,0.9813,1.5834,6.1822,0.9813,0.9813
